power,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_percent_0,cpu_percent_1,cpu_percent_2,cpu_percent_3,cpu_percent_4,cpu_percent_5,cpu_percent_6,cpu_percent_7,package_0_temp,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3
8.836444455530097, 1533.273, 1395.679, 1378.668, 2859.1, 1555.436, 1332.243, 1219.941, 1198.045, 0.0, 4.3, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 58.0, 57.0, 58.0, 56.0, 54.
20.927627099648074, 3492.234, 3492.188, 3492.165, 3492.183, 3492.126, 3492.326, 3492.291, 3492.209, 0.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 58.0, 57.0, 58.0, 56.0, 54.
21.346299782107238, 3492.322, 3492.187, 3492.268, 3492.183, 3492.705, 3492.305, 3492.157, 3492.482, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 58.0, 57.0, 58.0, 56.0, 54.
21.47859367807807, 3492.211, 3492.184, 3492.152, 3492.183, 3492.082, 3492.16, 3492.186, 3492.064, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 58.0, 57.0, 58.0, 56.0, 54.
21.697980199578303, 3492.185, 3492.186, 3492.22, 3492.183, 3492.036, 3492.371, 3492.181, 3492.128, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.626911640873313, 3492.387, 3492.187, 3492.145, 3492.183, 3492.188, 3492.306, 3492.197, 3493.094, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.655631581064686, 3492.22, 3492.181, 3492.225, 3492.183, 3492.145, 3492.398, 3492.212, 3492.295, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.627207802323188, 3492.226, 3492.185, 3492.15, 3492.183, 3492.127, 3492.234, 3492.149, 3484.544, 0.0, 8.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.65110132869616, 3492.238, 3492.186, 3492.172, 3492.183, 3492.005, 3492.302, 3492.143, 3490.976, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.695889162875165, 3492.245, 3492.184, 3492.229, 3492.183, 3492.301, 3492.346, 3492.177, 3492.165, 0.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 63.0, 56.
21.838082360800403, 3492.183, 3492.184, 3492.174, 3492.183, 3492.078, 3492.401, 3492.197, 3492.18, 4.3, 0.0, 0.0, 100.0, 4.3, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 63.0, 56.
21.739066426714565, 3492.096, 3492.187, 3492.214, 3492.183, 3492.095, 3492.23, 3492.175, 3492.182, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 63.0, 56.
21.703491965725558, 3492.445, 3492.191, 3492.171, 3492.183, 3492.143, 3492.332, 3492.159, 3492.515, 0.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 63.0, 56.
21.662793528960684, 3492.041, 3492.185, 3492.156, 3492.183, 3492.119, 3492.235, 3492.163, 3490.421, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 63.0, 56.
21.701218300895192, 3492.042, 3492.186, 3492.184, 3492.183, 3492.068, 3492.319, 3492.163, 3492.498, 0.0, 4.2, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.691310699581674, 3492.317, 3492.185, 3492.195, 3492.183, 3492.089, 3492.388, 3492.172, 3490.863, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.695473786802882, 3492.067, 3492.185, 3492.162, 3492.183, 3492.147, 3492.456, 3492.203, 3492.289, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.840586639014834, 3492.181, 3492.191, 3492.201, 3492.183, 3492.046, 3492.239, 3492.188, 3492.111, 0.0, 4.2, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.707308907653935, 3492.377, 3492.188, 3492.207, 3492.183, 3492.159, 3492.329, 3492.161, 3496.774, 0.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 62.0, 73.0, 62.0, 57.
21.680713859782806, 3491.964, 3492.19, 3492.197, 3492.183, 3492.107, 3492.224, 3492.176, 3492.279, 0.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 63.0, 73.0, 63.0, 58.
21.7277839913966, 3492.07, 3492.185, 3492.161, 3492.183, 3492.023, 3492.236, 3492.193, 3492.278, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 63.0, 73.0, 63.0, 58.
21.727539426575433, 3492.598, 3492.184, 3492.228, 3492.183, 3492.06, 3492.414, 3492.149, 3490.777, 0.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 73.0, 63.0, 73.0, 63.0, 58.
22.957240499778827, 3492.183, 3492.181, 3492.18, 3492.183, 3492.165, 3492.215, 3492.181, 3492.193, 26.1, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 4.2, 73.0, 63.0, 73.0, 63.0, 58.
26.555125459541213, 3492.183, 3492.181, 3492.171, 3492.183, 3492.178, 3492.356, 3492.196, 3492.224, 100.0, 4.2, 0.0, 100.0, 4.3, 0.0, 0.0, 0.0, 73.0, 63.0, 73.0, 63.0, 58.
26.898224158805288, 3492.183, 3492.193, 3492.182, 3492.183, 3492.188, 3492.36, 3492.147, 3492.125, 100.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 75.0, 63.0, 58.
27.007855368330304, 3492.183, 3492.185, 3492.176, 3492.183, 3492.14, 3492.289, 3492.205, 3492.175, 100.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 75.0, 63.0, 58.
27.081828653165154, 3492.183, 3492.185, 3492.209, 3492.183, 3492.128, 3492.286, 3492.208, 3489.556, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 75.0, 63.0, 58.
27.217232003191683, 3492.183, 3492.194, 3492.167, 3492.183, 3492.172, 3492.25, 3492.177, 3492.188, 100.0, 8.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 75.0, 63.0, 58.
27.19320321884422, 3492.183, 3492.181, 3492.236, 3492.183, 3492.242, 3492.365, 3492.178, 3492.229, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 75.0, 63.0, 58.
27.19670263485324, 3492.183, 3492.183, 3492.164, 3492.183, 3492.047, 3492.219, 3492.158, 3491.721, 100.0, 4.3, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 76.0, 76.0, 76.0, 64.0, 59.
27.29868039511106, 3492.183, 3492.187, 3492.174, 3492.183, 3492.184, 3492.23, 3492.181, 3492.127, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 76.0, 76.0, 76.0, 64.0, 59.
27.182900510612285, 3492.183, 3492.181, 3492.167, 3492.183, 3492.153, 3492.323, 3492.169, 3492.822, 100.0, 4.2, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 76.0, 76.0, 76.0, 64.0, 59.
27.439384596355282, 3492.183, 3492.179, 3492.17, 3492.183, 3492.179, 3492.212, 3492.162, 3492.18, 100.0, 4.3, 0.0, 100.0, 4.3, 0.0, 0.0, 0.0, 76.0, 76.0, 76.0, 64.0, 59.
